,participant.code,round_number,group.delta_value,group.game_payoff_betray,group.game_payoff_betrayed,group.game_payoff_both_defect,group.game_payoff_cooperate_cooperate,group.id_in_subsession,group.match_duration,player.base_payment_cents,player.bonus_payment_cents,player.bonus_round,player.decision,player.id_in_group,player.payoff,player.prolific_id,player.timeout_occurred,player.total_payment_cents,subsession.round_number,participant.id_in_session,session.code,opponent
28214,m3yogdvv,8,0.9,25.0,1.0,8.0,21.0,58,18.0,0,0,0,Cooperate,2,21.0,61695de0da820cd0b0e7106e,0,0,8,114,tuf4a7eb,fa6c3z6h
28215,m3yogdvv,9,0.9,25.0,1.0,8.0,21.0,58,18.0,0,0,0,Cooperate,2,21.0,61695de0da820cd0b0e7106e,0,0,9,114,tuf4a7eb,fa6c3z6h
28216,m3yogdvv,10,0.9,25.0,1.0,8.0,21.0,58,18.0,0,0,0,Cooperate,2,21.0,61695de0da820cd0b0e7106e,0,0,10,114,tuf4a7eb,fa6c3z6h
28217,m3yogdvv,11,0.9,25.0,1.0,8.0,21.0,58,18.0,0,0,0,Cooperate,2,21.0,61695de0da820cd0b0e7106e,0,0,11,114,tuf4a7eb,fa6c3z6h
28218,m3yogdvv,12,0.9,25.0,1.0,8.0,21.0,58,18.0,0,0,0,Cooperate,2,21.0,61695de0da820cd0b0e7106e,0,0,12,114,tuf4a7eb,fa6c3z6h
28219,m3yogdvv,13,0.9,25.0,1.0,8.0,21.0,58,18.0,0,0,0,Cooperate,2,21.0,61695de0da820cd0b0e7106e,0,0,13,114,tuf4a7eb,fa6c3z6h
28220,m3yogdvv,14,0.9,25.0,1.0,8.0,21.0,58,18.0,0,0,0,Cooperate,2,21.0,61695de0da820cd0b0e7106e,0,0,14,114,tuf4a7eb,fa6c3z6h
28221,m3yogdvv,15,0.9,25.0,1.0,8.0,21.0,58,18.0,0,0,0,Cooperate,2,21.0,61695de0da820cd0b0e7106e,0,0,15,114,tuf4a7eb,fa6c3z6h
28222,m3yogdvv,16,0.9,25.0,1.0,8.0,21.0,58,18.0,0,0,0,Cooperate,2,21.0,61695de0da820cd0b0e7106e,0,0,16,114,tuf4a7eb,fa6c3z6h
28223,m3yogdvv,17,0.9,25.0,1.0,8.0,21.0,58,18.0,0,0,0,Defect,2,25.0,61695de0da820cd0b0e7106e,1,0,17,114,tuf4a7eb,fa6c3z6h
28224,m3yogdvv,18,0.9,25.0,1.0,8.0,21.0,58,18.0,180,21,18,Cooperate,2,21.0,61695de0da820cd0b0e7106e,0,201,18,114,tuf4a7eb,fa6c3z6h
28225,m86r6p7q,1,0.5,19.0,1.0,6.0,17.0,88,2.0,0,0,0,Cooperate,2,17.0,6780234f642c8dfbe6eb9d1e,0,0,1,175,tuf4a7eb,2yscmepn
28226,m86r6p7q,2,0.5,19.0,1.0,6.0,17.0,88,2.0,100,17,2,Cooperate,2,17.0,6780234f642c8dfbe6eb9d1e,0,117,2,175,tuf4a7eb,2yscmepn
28227,mb23ipmz,1,0.65,22.0,4.0,9.0,19.0,68,5.0,0,0,0,Cooperate,2,19.0,67da5ae29f57419143d2b99a,0,0,1,135,tuf4a7eb,r4o1vn50
28228,mb23ipmz,2,0.65,22.0,4.0,9.0,19.0,68,5.0,0,0,0,Cooperate,2,4.0,67da5ae29f57419143d2b99a,0,0,2,135,tuf4a7eb,r4o1vn50
28229,mb23ipmz,3,0.65,22.0,4.0,9.0,19.0,68,5.0,0,0,0,Cooperate,2,19.0,67da5ae29f57419143d2b99a,0,0,3,135,tuf4a7eb,r4o1vn50
28230,mb23ipmz,4,0.65,22.0,4.0,9.0,19.0,68,5.0,0,0,0,Cooperate,2,19.0,67da5ae29f57419143d2b99a,0,0,4,135,tuf4a7eb,r4o1vn50
