id,session,inter,g,l,delta,delta_rd,num_rounds
8,1,18,2.5714286,1.8571429,0.5,-0.3157894761080332,3
8,1,19,2.5714286,1.8571429,0.5,-0.3157894761080332,4
8,1,20,2.5714286,1.8571429,0.5,-0.3157894761080332,2
8,1,21,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,22,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,23,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,24,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,25,2.5714286,1.8571429,0.5,-0.3157894761080332,4
8,1,26,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,27,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,28,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,29,2.5714286,1.8571429,0.5,-0.3157894761080332,2
8,1,30,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,31,2.5714286,1.8571429,0.5,-0.3157894761080332,5
8,1,32,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,33,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,34,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,35,2.5714286,1.8571429,0.5,-0.3157894761080332,3
8,1,36,2.5714286,1.8571429,0.5,-0.3157894761080332,3
8,1,37,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,1,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,2,2.5714286,1.8571429,0.5,-0.3157894761080332,2
9,1,3,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,4,2.5714286,1.8571429,0.5,-0.3157894761080332,4
9,1,5,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,6,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,7,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,8,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,9,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,10,2.5714286,1.8571429,0.5,-0.3157894761080332,3
9,1,11,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,12,2.5714286,1.8571429,0.5,-0.3157894761080332,3
9,1,13,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,14,2.5714286,1.8571429,0.5,-0.3157894761080332,3
9,1,15,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,16,2.5714286,1.8571429,0.5,-0.3157894761080332,2
9,1,17,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,18,2.5714286,1.8571429,0.5,-0.3157894761080332,3
9,1,19,2.5714286,1.8571429,0.5,-0.3157894761080332,4
9,1,20,2.5714286,1.8571429,0.5,-0.3157894761080332,2
9,1,21,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,22,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,23,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,24,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,25,2.5714286,1.8571429,0.5,-0.3157894761080332,4
9,1,26,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,27,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,28,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,29,2.5714286,1.8571429,0.5,-0.3157894761080332,2
9,1,30,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,31,2.5714286,1.8571429,0.5,-0.3157894761080332,5
9,1,32,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,33,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,34,2.5714286,1.8571429,0.5,-0.3157894761080332,1
9,1,35,2.5714286,1.8571429,0.5,-0.3157894761080332,3
9,1,36,2.5714286,1.8571429,0.5,-0.3157894761080332,3
9,1,37,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,1,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,2,2.5714286,1.8571429,0.5,-0.3157894761080332,2
10,1,3,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,4,2.5714286,1.8571429,0.5,-0.3157894761080332,4
10,1,5,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,6,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,7,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,8,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,9,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,10,2.5714286,1.8571429,0.5,-0.3157894761080332,3
10,1,11,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,12,2.5714286,1.8571429,0.5,-0.3157894761080332,3
10,1,13,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,14,2.5714286,1.8571429,0.5,-0.3157894761080332,3
10,1,15,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,16,2.5714286,1.8571429,0.5,-0.3157894761080332,2
10,1,17,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,18,2.5714286,1.8571429,0.5,-0.3157894761080332,3
10,1,19,2.5714286,1.8571429,0.5,-0.3157894761080332,4
10,1,20,2.5714286,1.8571429,0.5,-0.3157894761080332,2
10,1,21,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,22,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,23,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,24,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,25,2.5714286,1.8571429,0.5,-0.3157894761080332,4
10,1,26,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,27,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,28,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,29,2.5714286,1.8571429,0.5,-0.3157894761080332,2
10,1,30,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,31,2.5714286,1.8571429,0.5,-0.3157894761080332,5
10,1,32,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,33,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,34,2.5714286,1.8571429,0.5,-0.3157894761080332,1
10,1,35,2.5714286,1.8571429,0.5,-0.3157894761080332,3
10,1,36,2.5714286,1.8571429,0.5,-0.3157894761080332,3
10,1,37,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,1,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,2,2.5714286,1.8571429,0.5,-0.3157894761080332,2
11,1,3,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,4,2.5714286,1.8571429,0.5,-0.3157894761080332,4
11,1,5,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,6,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,7,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,8,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,9,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,10,2.5714286,1.8571429,0.5,-0.3157894761080332,3
11,1,11,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,12,2.5714286,1.8571429,0.5,-0.3157894761080332,3
11,1,13,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,14,2.5714286,1.8571429,0.5,-0.3157894761080332,3
11,1,15,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,16,2.5714286,1.8571429,0.5,-0.3157894761080332,2
11,1,17,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,18,2.5714286,1.8571429,0.5,-0.3157894761080332,3
11,1,19,2.5714286,1.8571429,0.5,-0.3157894761080332,4
11,1,20,2.5714286,1.8571429,0.5,-0.3157894761080332,2
11,1,21,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,22,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,23,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,24,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,25,2.5714286,1.8571429,0.5,-0.3157894761080332,4
11,1,26,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,27,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,28,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,29,2.5714286,1.8571429,0.5,-0.3157894761080332,2
11,1,30,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,31,2.5714286,1.8571429,0.5,-0.3157894761080332,5
11,1,32,2.5714286,1.8571429,0.5,-0.3157894761080332,1
11,1,33,2.5714286,1.8571429,0.5,-0.3157894761080332,1
